N zev;CLSID;PackedCLSID
Adres ý firem;{74255098-D307-11D2-9915-00E0ED0111A9};N1C2EX0BUJD13ACP03KIU0CLP4
Adres ý osob;{7425509A-D307-11D2-9915-00E0ED0111A9};NDC2EX0BUJD13ACP03KIU0CLP4
AkŸn¡ cen¡ky;{433947C3-315D-4051-BD17-5FE1DABE4996};SH3NMKUXA5CO1JCRFZKXPJMDMS
Bal¡Ÿky skript…;{D4C3F9E9-5AF4-41FC-9434-746754121C19};XBWWBPBOFFY4351OILNPC4KW34
Bankovn¡ reporty;{40490FC9-6CA8-49F2-AC1D-9D3826BC2C49};T4BOMK5CHNT4NF0XNOW2HJ1GD4
Bankovn¡ £Ÿty;{742550B9-D307-11D2-9915-00E0ED0111A9};R5C2EX0BUJD13ACP03KIU0CLP4
Bankovn¡ vìpisy;{742550B8-D307-11D2-9915-00E0ED0111A9};R1C2EX0BUJD13ACP03KIU0CLP4
Blokace doklad…;{2A888935-62D2-4C62-A098-C94B50A502E8};AQ4SKEQMGDL4TC4ST55P1DC2X0
Cen¡ky;{56AC5861-1AC2-11D4-A6C8-005004746B20};G5GESPQ23FE13DQC01C0CX3F40
DaåovØ uznateln‚ nerealizovan‚ kurzov‚ rozd¡ly;{3ECB1BB9-C9CF-4B89-B4B0-CE83C9A73D9E};R4HWQJQJTA4ORH5KTU1WNDTXNS
Daåov‚ z lohov‚ listy pýijat‚;{6A06ADD7-4ADC-4407-8BBA-E006322585AA};UYQKGUQWDC3OD2XUW0334DG5PC
Daåov‚ z lohov‚ listy vydan‚;{E4142EFE-A921-47F9-8E4A-8ACCC75842B5};ZSR1DT11PBWOJ3MELFAGIQ22QO
Dealersk‚ slevy;{742550BE-D307-11D2-9915-00E0ED0111A9};RTC2EX0BUJD13ACP03KIU0CLP4
Dealersk‚ tý¡dy;{742550C2-D307-11D2-9915-00E0ED0111A9};SDC2EX0BUJD13ACP03KIU0CLP4
Definice cen;{742550C3-D307-11D2-9915-00E0ED0111A9};SHC2EX0BUJD13ACP03KIU0CLP4
Definice kl¡Ÿ…;{74255099-D307-11D2-9915-00E0ED0111A9};N5C2EX0BUJD13ACP03KIU0CLP4
Definice pro DPH pýizn n¡;{59855C90-3789-4959-979C-7392AF1D7EAF};M1ICEQGDAXGON5WWIIDEYBFYPW
Definice stat.hodnoty na vstupu;{A6A896CA-DAEC-4D57-A60E-482797614111};TEFELDRGVDFOVDKID0NTISE124
Definice stat.hodnoty na vìstupu;{839AC9AF-D34D-44B5-B93C-C1C220F63184};PZ4TP0UHUIUODIDWSB121XLLKK
Definovateln‚ B2B importy;{01F523E8-51AE-4779-9EAB-DDAF39CF66A8};X0LZE0HIE5WOJBPFVQRNNNVAP0
Definovateln‚ formul ýe;{38506A61-4305-11D6-AD85-0050040B7304};G5P50I05CJF13FG501C0C2VN0K
Definovateln‚ polo§ky;{5EE11EC1-311E-11D6-BFB8-0020AFF92537};S4JI2RKYABF13JXS00KEZYD5AW
D¡lŸ¡ invent rn¡ protokoly;{683AEDFA-24F6-42D5-9AB1-5BB051944B15};ZFQNOUBQ4NEO5APLFIS5352F2O
D¡lŸ¡ skl. karty;{087589C0-AF0E-11D3-905C-005004746B42};S24RE20IPZDL342W01C0CX3FCC
D¡lŸ¡ çar§e/s‚r.Ÿ.;{0E6C7230-9B8F-4634-A8BC-42A5C6D2C95D};A1TAS3OJNGU4HE5WCEMWHOQDFO
Dobropisy daåovìch z lohovìch list… pýijatìch;{3E8C1360-7A0C-47EA-A53A-321D01419860};G0DSSJKGJFP4JDDUACIK2KGSG0
Dobropisy daåovìch z lohovìch list… vydanìch;{27E94510-657B-47F1-9324-625D62F77E97};212YMDVVGRSOJ4T4GDIQ5XVYMW
Dobropisy faktur pýijatìch;{DB48B720-3DBF-11D3-9849-005004634BC3};42VOLQXZBRDL3A2D01C0CSUFSG
Dobropisy faktur vydanìch;{742550C8-D307-11D2-9915-00E0ED0111A9};T1C2EX0BUJD13ACP03KIU0CLP4
Dodac¡ listy;{E0E24039-C0D4-11D3-991A-00E0ED0111A9};B50I5SAOS3DL3ACU03KIU0CLP4
Dodavatelsk‚ cen¡ky;{0C4C36A2-63DF-49C6-8893-AE45A1DCDD60};OCV4S3AZGJ34N24NPT2U3RAXG0
Doklady reverse charge;{F3A50A3A-37C1-4CBA-A411-ECAE06A35F2D};BC5EFWY1AYX4TD0LXMR0HCUZ5O
Dokumenty;{730C8BF5-6864-4802-A283-82590C40D474};YQ5KSWV4H014LCO3KDGKSKAOIK
DPH indexy;{742550B5-D307-11D2-9915-00E0ED0111A9};QPC2EX0BUJD13ACP03KIU0CLP4
DPH registrace v zem¡ch EU;{7EC7FD4A-328A-48F9-AE4E-3385AB52EC7D};DFYWIZOEAFWOLFMIAI2UQORGJO
DPH sazby;{742550B4-D307-11D2-9915-00E0ED0111A9};QLC2EX0BUJD13ACP03KIU0CLP4
Druhy dopravy INTRASTAT;{CC400DEE-C331-45A2-B758-04C64B240FE7};XSAO1N1LSIL4FHUS0N34QD0JWW
Druhy smØn;{F9248440-3146-11D6-AD85-0050040B7304};C222DYEAABF13FG501C0C2VN0K
Druhy vìkon…;{DB82C139-039C-4D52-BA24-819FC7197AFF};BB0S5QWW0HD4VIL4KAJWIAFUZW
D…vody ne£spØchu nab¡dek vydanìch;{BD9E8771-E78B-4975-9E59-AEEE23451EE3};IA3TXJGFWXUONBMTPVR2ALCYWG
Editor;{742550AA-D307-11D2-9915-00E0ED0111A9};PDC2EX0BUJD13ACP03KIU0CLP4
Faktury pýijat‚;{742550AD-D307-11D2-9915-00E0ED0111A9};PPC2EX0BUJD13ACP03KIU0CLP4
Faktury vydan‚;{742550AC-D307-11D2-9915-00E0ED0111A9};PLC2EX0BUJD13ACP03KIU0CLP4
FinanŸn¡ kategorie;{C78BF9B3-E891-45EC-A8A6-D4D9069E604A};QJWSRLWLX3Q4FE5AUNGKHBN0DC
FinanŸn¡ slevy;{BF1B3680-F58A-11D3-A0B5-001060902721};K0V1RJWEYRDL3C5P00CA141B44
Firemn¡ £daje;{742550A3-D307-11D2-9915-00E0ED0111A9};OHC2EX0BUJD13ACP03KIU0CLP4
Fronty soubor…;{8838C41E-184E-4A86-8EF6-F62B38EAC7C8};3V23L22I3234P3RQYSPNLUQBT0
Fulltextov‚ hled n¡;{72CC75CD-81E5-4F65-AC4B-E801BA3342C9};TPUWSWR5K5MOZF2FX00VOGU2T4
Hlavn¡ invent rn¡ protokoly;{99A4F260-86EB-4F4E-B03F-ED708339DCA1};G3TEDAJFKTB4ZG1ZXPSCAIIWO4
Hlavn¡ kniha;{2234F31B-1C91-4B00-B451-30BE916FD9E1};3JTNCCOL3K04RH2LA2ZD2VYTW4
Hodnocen¡ dodavatel‚;{96C14DFF-68DC-4949-83FF-9644AF026C7D};ZXAW35QWH14ON0ZZMT2EY0NGJO
InstalaŸn¡ sady;{0C8E4049-E1B8-4919-9A49-E8FD63EE1039};D50CW35SW4GONAMDX3YQBVKKB4
Intern¡ doklady;{74255092-D307-11D2-9915-00E0ED0111A9};MDC2EX0BUJD13ACP03KIU0CLP4
Invent rn¡ manka;{E0E2403E-C0D4-11D3-991A-00E0ED0111A9};BT0I5SAOS3DL3ACU03KIU0CLP4
Invent rn¡ pýebytky;{E0E2403D-C0D4-11D3-991A-00E0ED0111A9};BP0I5SAOS3DL3ACU03KIU0CLP4
Inventura;{A70CC1A2-E921-11D3-A6C6-005004746B20};OF0KTDT1XBDL3DQA01C0CX3F40
JSD;{60FF6080-6ACF-11D3-9E3D-00105A309359};K1KJYSAJHFDL3BLX00C5OG4NF4
Kategorie dokument…;{2A0FA249-E319-4E14-9597-1A4AD625E847};DAL0YEKTWGE4X5GR3D5HGDJCCW
KategorizaŸn¡ £daje;{4EC3E736-330A-4E79-9ED0-705C5541E220};AVNWANKEAHWOXBQKI1I5EKJ240
K¢dy NACE;{9C64D298-CEE3-4797-B200-205CD408C4DD};N3DADBB3TUFOJGK041IHC2A4VO
Kombinovan  nomenklatura;{985BAA63-DB8D-4505-A96F-4AE4D9B23D3B};GIP5RA4HVG2OFEFJDFMHNGLXBG
Konstantn¡ symboly;{D3AC0D43-F585-11D3-A0B5-001060902721};CGAUTOW5YRDL3C5P00CA141B44
Kontrola nespolehlivìch pl tc… DPH podle firem;{74EE6BE0-E318-4F75-9EB2-C03E1B46ACF8};W1PYWX0SWHUOZBPMS0Z1QLPGZ0
Konverze bankovn¡ch £Ÿt… na IBAN;{1BCEA1BB-930E-457B-8D9F-20FEA805F7A9};RIKWWASIMHXOF3GZ43ZEK1JRP4
Kraje;{CBE15975-8B46-4A5D-AA83-5D2315A7A133};IPGY3MUALHIOPEO3FOLLFDX1AG
Kurzov‚ rozd¡ly;{F3EDE5E3-74EA-11D3-905B-005004746B42};WJMYVWZEINDL342V01C0CX3FCC
Kurzov‚ rozd¡ly aktivn¡ a pasivn¡;{DB7D2940-9361-11D3-905B-005004746B42};C0ORVQV1MJDL342V01C0CX3FCC
Kurzovn¡ l¡stek;{742550B7-D307-11D2-9915-00E0ED0111A9};QXC2EX0BUJD13ACP03KIU0CLP4
Kurzovn¡ l¡stek INTRASTAT;{FF18A410-9DD1-48D4-9D11-2AEF6BE0D4BD};22M1LZYLNRE4LBCL5FRQRSAORO
Kusov‚ slevy;{742550BF-D307-11D2-9915-00E0ED0111A9};RXC2EX0BUJD13ACP03KIU0CLP4
MØny;{D3AC0D40-F585-11D3-A0B5-001060902721};C0AUTOW5YRDL3C5P00CA141B44
M¡sta;{742550BD-D307-11D2-9915-00E0ED0111A9};RPC2EX0BUJD13ACP03KIU0CLP4
Nab¡dky vydan‚;{5C4550A0-DCEE-4CDD-9386-C34B2F782444};O1C4ERBIVNIOT4WASH5MYY14CK
Obdob¡;{7425509D-D307-11D2-9915-00E0ED0111A9};NPC2EX0BUJD13ACP03KIU0CLP4
Obecn‚ pracovn¡ pozice;{A2D01396-2E3F-4140-93D3-BD721DC76B91};MSDX1CLZ5T0434YNRPT1VLVFM4
Obchodn¡ pý¡pady;{742550A2-D307-11D2-9915-00E0ED0111A9};ODC2EX0BUJD13ACP03KIU0CLP4
Objedn vky pýijat‚;{049DBAA0-E08E-11D3-905D-005004746B42};O2XDU14IW3DL342X01C0CX3FCC
Objedn vky vydan‚;{9936CA62-E1A3-11D3-A0B5-001060902721};GF53HAH3WBDL3C5P00CA141B44
