Adresář firem	N1C2EX0BUJD13ACP03KIU0CLP4
Adresář osob	NDC2EX0BUJD13ACP03KIU0CLP4
Akční ceníky	SH3NMKUXA5CO1JCRFZKXPJMDMS
Balíčky skriptů	XBWWBPBOFFY4351OILNPC4KW34
Bankovní reporty	T4BOMK5CHNT4NF0XNOW2HJ1GD4
Bankovní účty	R5C2EX0BUJD13ACP03KIU0CLP4
Bankovní výpisy	R1C2EX0BUJD13ACP03KIU0CLP4
Blokace dokladů	AQ4SKEQMGDL4TC4ST55P1DC2X0
Ceníky	G5GESPQ23FE13DQC01C0CX3F40
Daňově uznatelné nerealizované kurzové rozdíly	R4HWQJQJTA4ORH5KTU1WNDTXNS
Daňové zálohové listy přijaté	UYQKGUQWDC3OD2XUW0334DG5PC
Daňové zálohové listy vydané	ZSR1DT11PBWOJ3MELFAGIQ22QO
Dealerské slevy	RTC2EX0BUJD13ACP03KIU0CLP4
Dealerské třídy	SDC2EX0BUJD13ACP03KIU0CLP4
Definice cen	SHC2EX0BUJD13ACP03KIU0CLP4
Definice klíčů	N5C2EX0BUJD13ACP03KIU0CLP4
Definice pro DPH přiznání	M1ICEQGDAXGON5WWIIDEYBFYPW
Definice stat.hodnoty na vstupu	TEFELDRGVDFOVDKID0NTISE124
Definice stat.hodnoty na výstupu	PZ4TP0UHUIUODIDWSB121XLLKK
Definovatelné B2B importy	X0LZE0HIE5WOJBPFVQRNNNVAP0
Definovatelné formuláře	G5P50I05CJF13FG501C0C2VN0K
Definovatelné položky	S4JI2RKYABF13JXS00KEZYD5AW
Dílčí inventární protokoly	ZFQNOUBQ4NEO5APLFIS5352F2O
Dílčí skl. karty	S24RE20IPZDL342W01C0CX3FCC
Dílčí šarže/sér.č.	A1TAS3OJNGU4HE5WCEMWHOQDFO
Dobropisy daňových zálohových listů přijatých	G0DSSJKGJFP4JDDUACIK2KGSG0
Dobropisy daňových zálohových listů vydaných	212YMDVVGRSOJ4T4GDIQ5XVYMW
Dobropisy faktur přijatých	42VOLQXZBRDL3A2D01C0CSUFSG
Dobropisy faktur vydaných	T1C2EX0BUJD13ACP03KIU0CLP4
Dodací listy	B50I5SAOS3DL3ACU03KIU0CLP4
Dodavatelské ceníky	OCV4S3AZGJ34N24NPT2U3RAXG0
Doklady reverse charge	BC5EFWY1AYX4TD0LXMR0HCUZ5O
Dokumenty	YQ5KSWV4H014LCO3KDGKSKAOIK
DPH indexy	QPC2EX0BUJD13ACP03KIU0CLP4
DPH registrace v zemích EU	DFYWIZOEAFWOLFMIAI2UQORGJO
DPH sazby	QLC2EX0BUJD13ACP03KIU0CLP4
Druhy dopravy INTRASTAT	XSAO1N1LSIL4FHUS0N34QD0JWW
Druhy směn	C222DYEAABF13FG501C0C2VN0K
Druhy výkonů	BB0S5QWW0HD4VIL4KAJWIAFUZW
Důvody neúspěchu nabídek vydaných	IA3TXJGFWXUONBMTPVR2ALCYWG
Editor	PDC2EX0BUJD13ACP03KIU0CLP4
Faktury přijaté	PPC2EX0BUJD13ACP03KIU0CLP4
Faktury vydané	PLC2EX0BUJD13ACP03KIU0CLP4
Finanční kategorie	QJWSRLWLX3Q4FE5AUNGKHBN0DC
Finanční slevy	K0V1RJWEYRDL3C5P00CA141B44
Firemní údaje	OHC2EX0BUJD13ACP03KIU0CLP4
Fronty souborů	3V23L22I3234P3RQYSPNLUQBT0
Fulltextové hledání	TPUWSWR5K5MOZF2FX00VOGU2T4
Hlavní inventární protokoly	G3TEDAJFKTB4ZG1ZXPSCAIIWO4
Hlavní kniha	3JTNCCOL3K04RH2LA2ZD2VYTW4
Hodnocení dodavatelé	ZXAW35QWH14ON0ZZMT2EY0NGJO
Instalační sady	D50CW35SW4GONAMDX3YQBVKKB4
Interní doklady	MDC2EX0BUJD13ACP03KIU0CLP4
Inventární manka	BT0I5SAOS3DL3ACU03KIU0CLP4
Inventární přebytky	BP0I5SAOS3DL3ACU03KIU0CLP4
Inventura	OF0KTDT1XBDL3DQA01C0CX3F40
JSD	K1KJYSAJHFDL3BLX00C5OG4NF4
Kategorie dokumentů	DAL0YEKTWGE4X5GR3D5HGDJCCW
Kategorizační údaje	AVNWANKEAHWOXBQKI1I5EKJ240
Kódy NACE	N3DADBB3TUFOJGK041IHC2A4VO
Kombinovaná nomenklatura	GIP5RA4HVG2OFEFJDFMHNGLXBG
Konstantní symboly	CGAUTOW5YRDL3C5P00CA141B44
Kontrola nespolehlivých plátců DPH podle firem	W1PYWX0SWHUOZBPMS0Z1QLPGZ0
Konverze bankovních účtů na IBAN	RIKWWASIMHXOF3GZ43ZEK1JRP4
Kraje	IPGY3MUALHIOPEO3FOLLFDX1AG
Kurzové rozdíly	WJMYVWZEINDL342V01C0CX3FCC
Kurzové rozdíly aktivní a pasivní	C0ORVQV1MJDL342V01C0CX3FCC
Kurzovní lístek	QXC2EX0BUJD13ACP03KIU0CLP4
Kurzovní lístek INTRASTAT	22M1LZYLNRE4LBCL5FRQRSAORO
Kusové slevy	RXC2EX0BUJD13ACP03KIU0CLP4
Měny	C0AUTOW5YRDL3C5P00CA141B44
Místa	RPC2EX0BUJD13ACP03KIU0CLP4
Nabídky vydané	O1C4ERBIVNIOT4WASH5MYY14CK
Období	NPC2EX0BUJD13ACP03KIU0CLP4
Obecné pracovní pozice	MSDX1CLZ5T0434YNRPT1VLVFM4
Obchodní případy	ODC2EX0BUJD13ACP03KIU0CLP4
Objednávky přijaté	O2XDU14IW3DL342X01C0CX3FCC
Objednávky vydané	GF53HAH3WBDL3C5P00CA141B44
Obnova dat	GHMMWARGXRE13FWD00C5OG4NF4
Obrázky	TEMCU0UVB5J4VC0LJO3GXGSCXK
Okresy	AG0Z3KQNXPWOJ3AMNJ1I34UT2W
Opakované platby	SPC2EX0BUJD13ACP03KIU0CLP4
Operace	5HGFWXEGTRV4JG3ULFWGTOTA5O
Ostatní příjmy	W01A21CP33DL35IV01C0CX3F40
Ostatní výdaje	W41A21CP33DL35IV01C0CX3F40
Placené svátky	O2S5RQG353F13FG501C0C2VN0K
Platební příkazy	41A2RN3O4RDL3BLX00C5OG4NF4
Počátky účtů	MLC2EX0BUJD13ACP03KIU0CLP4
Počty zaměstnanců	DSLIEM5O54VOJ3D4BTKLC5HBTO
Podání INTRASTAT	3D11RUWPCUY4J2TI1LHL5TN5N0
Pohyby na nabídkách vydaných	4CKGXRI5BEV4B2TEODYHI2S45O
Pohyby na objednávkách přijatých	T2FWDKF0NSSOBC2KLELLUBPBXW
Pohyby na objednávkách vydaných	D42ABO5BCI3O1CC4PH21RIL2OW
Pohyby rezervací	SQGP3TPO44X43GHSPIN3MRSCY4
Pohyby šarží/sér.č.	S1X0KZC0NJE13C5U00CA141B44
Pokladní příjmy	S5C2EX0BUJD13ACP03KIU0CLP4
Pokladní reporty	00ENIR0CJBE13C5T00CA141B44
Pokladní výdeje	S1C2EX0BUJD13ACP03KIU0CLP4
Pokladny	PHC2EX0BUJD13ACP03KIU0CLP4
Pomocné nástroje administrace	EEBC3WMTP1X4P0JT0R0CPGPUYC
Poštovní reporty	JOMAHVI3B5IOX4DSRG3XS4FZKG
Poštovní úřady	VW0YK4W5AYM4JELJ5QHD4JFMPW
Potvrzení dobropisů vydaných	CPP0KYEFS1D4JFZBJPZHUELMAW
Povahy transakcí	JY1HBJ1XOCVOJFWUGY01TGPG14
Povolení oprav	K3SPLRQFGR1OV4CLKZ1MM0NYA0
Požadavky na objednávky vydané	SF5MZPEK3JE1342X01C0CX3FCC
Požadavky na změnu ceny	FTPL0VO4WHAO1FV04ZHCXNC5L0
Pracovní kalendář	W4KZUWQ2ANF13FG501C0C2VN0K
Pravidla zpracování doručené e-mail. pošty	IJJNBAOQPCD4HJUONWZDGWCDJW
Pravidla zpracování front souborů	5JEHSGSIADMOF3ICMYFXH3PZNC
