ActionPriceListRestrictionUse;RIWTY30HVLF41AEN4UHKWAEEFC
Adresa;4C3EXM5PQBCL35CH000ILPWJF4
Adresát;0MZ2HLJTOOBOJJ5HPS2ANXTIUW
Adresát kampaně;P0WXCAK4AILOD4AYT2HT1WGI2K
Adresát vzkazu;HM5J53LDNXYOZAJLUODFDFINHC
Adresáti;F2Z2NJUF5YA4P2WFBPFZLSL1A4
Agenda kontrolního bodu;SZQ1XGYXS3J4BHVGEDG34VCQWW
Akce pravidla pro zpracování doručené e-mail. pošty;YNJA2M3RS3U4ZHKNVA0LT33HIW
Akce pravidla pro zpracování front souborů;XDWOCOUFKCT4DAVR3TGM144ZSS
Akční ceník;RFCEI0OA50YO3EFAZKQ5Q0DS5C
Akční ceníková cena;0H1KYI1OFVK4P0KSFNBGXZVXQ0
Aktivita;AVV1JYV5AVNOZHQCK0D4CJFUCS
Automatický vzkaz;WU54AR3KZ4HOFDLWGV1Z5BEA5C
Balíček skriptů;0NK2M5KDFVK4XJW1TBDMUCHKRG
Bankovní účet;S1DAHWVT5ND133N4010DELDFKK
Bankovní účet firmy;WQC02QYERNCL35CH000ILPWJF4
Bankovní výpis;O3SCO4S1BRD13FY1010DELDFKK
Bankovní výpis - řádek;OBSCO4S1BRD13FY1010DELDFKK
Blokace dokumentu;OJZMFEVW2PLOZHHHIXEZF2SBT0
Celní prohlášení - řádek;01L4TBZUHBDL3BLX00C5OG4NF4
Ceník;G5YLVQXQ3FE13DQC01C0CX3F40
Ceník pošty;NRG5YK1ZTKR4FJ4TMPTEPD50AG
Ceníková cena;GHYLVQXQ3FE13DQC01C0CX3F40
Ceníky - řádek;D0EKFXTWBRIOT4R00TPJZU4WLO
Část vývojových produktů;S1QZP5A3LJDL3HGF01K0LEIOE0
Čerpaná dovolená;TA4HCDK20QL4X34GRXKUP24PUW
Daňová odpisová skupina;O4LMSVMRZJE1314Z00C5PPZRR4
Daňová tabulka;S4AICWMZZJE13JB301C0C2VN0K
Daňová tabulka - řádek;0IDN00EOZNE13JB401C0C2VN0K
Daňový zálohový list přijatý;ZJYWUH5I34J4VAAIHOB0ZA1FIO
Daňový zálohový list přijatý - řádek;HVUI4P3Z1LLONCSDR4FPPME4EG
Daňový zálohový list vydaný;S3YFE5QQNYQORJXLJWXDL3QV0K
Daňový zálohový list vydaný - řádek;1FC5XHSBZQR4J5GXADRSC2RYM4
Data dokumentu;J0OKEDVUDLEOBHUIYFT3G31ERC
Data obrázku;S1AUUMOM3REL3C5V00CA141B44
Data vývojové dokumentace nebo požadavků;W1SEJXXUNRDL3HGF01K0LEIOE0
Datové platnosti ceníku;MOIGO2XD4RB4PBPCULKHOY0D04
Datový zdroj;DZBGT5DN1SN4V3D0SOWBXONBMK
Dealerská sleva;GWMHT3STARDL3CL100C4RHECN0
Dealerská sleva - řádek;C04CLO0RAVDL3CL100C4RHECN0
Dealerská třída;02NWOCQPBBDL3CL100C4RHECN0
Definice adres skladových pozic;CRYNTECL2UCOVDLY3BSBCULIGW
Definice automatického vzkazu;UNSBCKHK4ZEOT1JXNB5YZG22US
Definice automatického vzkazu - adresát;VFRAHQ344TYOVDEPHIGWRIW3N4
Definice B2B exportu;T0EP5NQOLGK4F5O5OWUR0M3MTG
Definice ceny;C0IWHWQUBBDL3CL100C4RHECN0
Definice ELDP;S1NZIMSEJW2ODDZS5B0L14SAIW
Definice exportu;VRNLUNOJDFM435WUZVN1MVAOKW
Definice omezení;VXR1WBJASVSOD2GPWGJE5P1RCS
Definice plateb;S2IQRKEEHJQ4THUGEOJZHMQL5W
Definice použitá při uzávěrce;WEZXQFAZZKK4JICJB54KQGDI5W
Definice pro DPH přiznání;KWM3VUOVEBF4HF0RPMRTW51JUK
Definice pro DPH přiznání - předvyplnění;4QIM5SDCEEO4XG3TXPFZOUQO4C
Definice pro DPH přiznání - řádek;OXZL3UEQVQK4FHCHOV0IK3OIMC
Definice převodů dat;QXJBWHJKLLJ45F1YLR1ODPH2WS
Definice reportu;HEJPJYLV1LA4NJLIYAVG0B10LO
Definice sloupců bilance;3AKOJO5WAVNOLAGLIBNPK3OG4K
Definice statistické hodnoty na vstupu;LRO1DASUHHF4NGVMHW5NEGI10O
Definice statistické hodnoty na výstupu;DAGL2UYA51BOXGILIULPRVC40K
Definice výpočtu uzávěrky;IZEOB0N0IQ4OPGQLFZ0TQAR4GC
Definice zobrazení map;GJKNVYVKIL14H2PCOOJYR5CRIO
Definice zrcadla;E44HWZECLD0OX2YBHZXARFQ5MC
Definice zrcadla - řádek;1LC1UUUFGH5ORIBMBIDPDJ4OQW
Definovatelná položka;WHMZBIJR3VF13JXR00KEZYD5AW
Definovatelný formulář;G1P50I05CJF13FG501C0C2VN0K
Definovatelný import el.dokladů;US51DGCVFJX4R1LHDOGQVBQLCS
Deklarace INTRASTAT;ISZ3LXFQX2E4V2K5KHGKJVWJS4
Detail období pojištění;WXGXNHZRETM4ZJ3SYXY4HAOEBG
Dílčí inventární protokol;U0D05ZPUL3IOVHE2PRXQGEOVG4
Dílčí inventární protokol - pozice;V3CY1OR30SDOB3GKSI1FRKH21G
Dílčí inventární protokol - řádek;ZRVMYEJVGVU4LAGYJNBYDS3OBW
Dílčí inventární protokol - šarže;VCASG1II2UN4TBYIGHNIESDPZW
Dílčí skladová karta;GAWVAN4GFNDL342T01C0CX3FCC
Dílčí šarže/sériové číslo;42QPPHD3TZDL342W01C0CX3FCC
Dobropis daň.zál.listu přijatého;SSAYCIGEIXZ4V3BDAESTJQ4ZR4
Dobropis daň.zál.listu přijatého - řádek;0FAFASQBFDJ4X3XQ1I2OZPG1NK
Dobropis daň.zál.listu vydaného;5QPO4RN24LKOF24T0TBXRQZ5UO
Dobropis daň.zál.listu vydaného - řádek;11D54IKOQROOT2UK2UMDLNL1HG
Dobropis faktury přijaté;WED420SMBBDL3A2D01C0CSUFSG
Dobropis faktury přijaté - řádek;WMD420SMBBDL3A2D01C0CSUFSG
Dobropis faktury vydané;W402MSU3BBDL3ACR03KIU0CLP4
Dobropis faktury vydané - řádek;WC02MSU3BBDL3ACR03KIU0CLP4
Dodací list;050I5SAOS3DL3ACU03KIU0CLP4
Dodací list - řádek;0H0I5SAOS3DL3ACU03KIU0CLP4
Dodací podmínky;FXGW3241WWNOT3WUGVM1FZKGMG
Dodavatel;H12B5STNYOQO34L21TDH3KHYAW
Dodavatel;O0F5OHLYGNDL342T01C0CX3FCC
